Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
2015,12,25,19,14,19,,,AFGHANISTAN; PAKISTAN,36.494,71.126,206,6.3,5,4,1,,,97,2,,1,,1,,1,4,1,,,97,2,,1,,1,,1
2016,1,3,23,5,27,,,INDIA:  IMPAHL,24.804,93.651,55,6.7,7,13,1,,,100,2,75,4,,,,2,13,1,,,100,2,75,4,,,,2
2016,1,16,23,22,4,,,INDONESIA: MALUKU:  BURU  AMBALAU ISLAND,-3.873,127.229,4,5.6,3,1,1,,,22,1,,1,,,230,3,1,1,,,22,1,,1,,,230,3
2016,1,24,10,30,56,,,ALASKA:  KENAI,59.658,-153.452,126,7.1,6,,,,,,,,1,4,1,,,,,,,,,,1,4,1,,
2016,1,25,4,23,13,5792,,MOROCCO:  MELILLA,35.649,-3.682,12,6.3,6,1,1,,,26,1,,1,,1,,1,1,1,,,26,1,,1,,1,,1
2016,2,5,19,57,6,,,TAIWAN:  TAINAN,22.97,120.46,10,6.4,7,117,3,,,525,3,700,4,,1,,1,117,3,,,525,3,700,4,,1,,1
2016,3,2,12,49,11,5598,,INDONESIA: SUMATRA:,-4.952,94.33,24,7.8,5,,,,,,,,,,,,,,,,,,,,,,,,
2016,4,10,10,29,12,,,AFGHANISTAN:  KHYBER PAKHTUNKHWA,36.473,71.131,212,6.6,5,6,1,,,5,1,,1,,,20,1,6,1,,,5,1,,1,,,20,1
2016,4,13,13,55,8,,,INDIA: ASSAM; BANGLADESH,23.094,94.865,136,6.9,5,2,1,,,170,3,,2,,,4,1,2,1,,,170,3,,2,,,4,1
2016,4,15,16,25,22,,,JAPAN:  KUMAMOTO  OITA,32.791,130.754,10,7,8,50,1,,,1500,4,20000,4,80000,4,,,50,1,,,1500,4,20000,4,80000,4,,
2016,4,16,23,58,0,5599,,ECUADOR:  NEAR WEST COAST: MANABI  ESMERALDAS,0.35,-80.16,17,7.8,8,663,3,9,1,6274,4,3300,4,6998,4,29672,4,663,3,9,1,6274,4,3300,4,6998,4,29672,4
2016,4,28,19,33,7,5600,,VANUATU ISLANDS,-16.043,167.379,24,7,,,,,,,,,,,,,,,,,,,,,,,,,
2016,5,11,1,15,22,,,CHINA:  TIBET (XIZANG PROVINCE),32.022,95.027,8,5.2,,,,,,60,2,,1,,1,,,,,,,60,2,,1,,1,,
2016,5,18,16,47,26,,,ECUADOR:  MANABI PROVINCE,0.495,-79.616,30,6.9,4,1,1,,,162,3,,1,,1,32,1,1,1,,,162,3,,1,,1,32,1
2016,5,28,23,54,38,,,ALGERIA:  MEDEA:  MIHOUB,36.431,3.517,11,5.4,5,,,,,28,1,,2,,3,,1,,,,,28,1,,2,,3,,1
2016,6,1,22,56,8,,,INDONESIA:  SUMATRA:  PESISIR SELATAN,-2.097,100.665,50,6.6,5,1,1,,,30,1,,2,,,2663,4,1,1,,,30,1,,2,,,2663,4
2016,6,7,19,15,33,,,INDONESIA:  MALUKU:  TERNATE ISLAND,1.279,126.371,31,6.3,4,,,,,,,,1,,,,1,,,,,,,,1,,,,1
2016,7,1,14,59,15,,,TAJIKISTAN:  RASHT,38.881,70.559,10,5,,,,,,,,,1,31,1,,,,,,,,,,1,31,1,,
2016,7,29,21,19,14,,,NORTHERN MARIANA ISLANDS,18.543,145.507,196,7.7,4,,,,,,,,,,,,,,,,,,,,,,,,
2016,7,31,9,18,17,,,CHINA:  GUANGXI PROVINCE,24.134,111.478,25,4.9,,,,,,,,,2,,,200,3,,,,,,,,2,,,200,3
2016,7,31,23,41,28,,,INDONESIA:  SUMBAWA ISLAND:  WEST NUSA TENGGARA,-8.194,117.814,21,5.6,6,,,,,4,1,,2,,,700,3,,,,,4,1,,2,,,700,3
2016,8,12,1,26,28,5604,,NEW CALEDONIA:  LOYALTY ISLANDS,-22.477,173.117,16,7.2,,,,,,,,,,,,,,,,,,,,,,,,,
2016,8,15,2,58,0,,,PERU:  AREQUIPA,-15.64,-71.68,8,5.5,6,9,1,,,68,2,,2,605,3,671,3,9,1,,,68,2,,2,605,3,671,3
2016,8,19,7,33,11,5605,,SOUTH SANDWICH ISLANDS,-55.285,-31.877,10,7.4,,,,,,,,,,,,,,,,,,,,,,,,,
2016,8,20,9,1,26,5741,,JAPAN:  OFF EAST COAST HONSHU,40.394,143.68,10,6,2,,,,,,,,,,,,,,,,,,,,,,,,
2016,8,24,1,36,2,,,ITALY:  ACCUMOLI  ARQUATA  AMATRICE,42.704,13.238,4,6.2,9,299,3,15,1,368,3,5000,4,,3,,2,299,3,15,1,368,3,5000,4,,3,,2
2016,8,24,10,34,58,,,MYANMAR (BURMA): CHAUK,20.923,94.569,82,6.8,5,4,1,,,20,1,10,3,,,230,3,4,1,,,20,1,10,3,,,230,2
2016,9,1,16,37,3,5606,,NEW ZEALAND:  GISBORNE,-37.359,179.146,19,7,5,,,,,,,,,,,,,,,,,,,,,,,,
2016,9,10,12,27,41,,,TANZANIA:  LAKE VICTORIA;  UGANDA: RAKAI,-1.036,31.618,40,5.9,,23,1,,,252,3,458,4,1172,4,6281,4,23,1,,,252,3,458,4,1172,4,6281,4
2016,9,11,13,10,7,,,BALKANS NW:  MACEDONIA,42.008,21.488,13,5.1,6,,,,,30,1,10,3,,,,1,,,,,30,1,10,3,,,,1
2016,9,12,11,33,17,,,SOUTH KOREA:  GYEONGJU,35.781,129.216,13,5.4,6,1,1,,,14,1,21,3,,,106,3,1,1,,,14,1,21,3,,,106,3
2016,9,23,16,12,1,,,RWANDA:  RISUZI; CONGO:  UKAVU,-2.65,29.06,10,4.8,,8,1,,,,1,,1,22,1,,,8,1,,,,1,,1,22,1,,
2016,9,28,16,49,1,,,NICARAGUA:  LEON,12.442,-86.515,8,5.5,4,1,1,,,5,1,,2,6,1,487,3,1,1,,,5,1,,2,6,1,487,3
2016,10,1,8,4,33,,,PAKISTAN:  MANSEHRA  NARAN,34.905,73.682,10,5.4,2,1,1,,,,2,,1,,2,,,1,1,,,,2,,1,,2,,
2016,10,21,5,8,39,,,JAPAN:  KURAYOSHI,35.374,133.809,6,6.2,6,,,,,7,1,100,4,2,1,160,3,,,,,7,1,100,4,2,1,160,3
2016,10,26,19,18,43,,,ITALY:  VISSO  USSITA,42.956,13.067,10,6.1,7,1,1,,,,1,,4,,,1001,4,1,1,,,,1,,4,,,1001,4
2016,10,30,6,40,5,,,ITALY: NORCIA,42.84,13.11,9,6.6,7,2,1,,,20,1,200,4,,1,,4,2,1,,,20,1,200,4,,1,,4
2016,11,7,1,44,7,,,OKLAHOMA:  CUSHING,35.988,-96.805,3,5,6,,,,,,1,20,3,,,50,1,,,,,,1,20,3,,,50,1
2016,11,13,11,2,34,5613,,NEW ZEALAND:  AMBERLEY,-42.737,173.054,15,7.8,8,2,1,,,,,,2,,,,1,2,1,,,,,3900,4,1,1,,1
2016,11,21,20,59,27,5618,,JAPAN: NEAR E COAST HONSHU,37.393,141.387,9,6.9,7,,,,,15,1,,1,,,,,,,,,15,1,,1,,,,
2016,11,24,18,43,0,5620,,NICARAGUA,11.96,-88.835,33,6.9,5,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,25,14,25,11,,,CHINA:  XINJIANG PROVINCE:  KASHGAR,39.273,73.978,17,6.6,7,1,1,,,,,5.5,3,,2,,,1,1,,,,,5.5,3,,2,,
2016,11,27,23,35,2,,,NEPAL:   MOUNT AMA DABLAM  CHARIKHARKA,27.802,86.532,10,5.4,4,1,1,,,1,1,,1,2,1,,,1,1,,,1,1,,1,2,1,,
2016,11,29,20,9,35,,,POLAND:  RUDNA,51.613,16.157,5,4.2,,8,1,,,9,1,,1,,,,,8,1,,,9,1,,1,,,,
2016,12,1,0,25,38,,,COSTA RICA:  PARAISO  TURRIALBA,9.949,-83.807,1,5.3,6,,,,,,,,2,,,60,2,,,,,,,,2,,,60,2
2016,12,1,22,40,0,,,PERU:  PUNO  LAMPA,-15.44,-70.93,10,6.2,6,1,1,,,17,1,,1,8,1,40,1,1,1,,,17,1,,1,8,1,40,1
2016,12,6,22,3,39,,,INDONESIA:  SUMATRA:  ACEH:  PIDIE JAYA,5.283,96.168,13,6.5,8,104,3,,,857,3,100,4,245,3,18752,4,104,3,,,857,3,100,4,245,3,18752,4
2016,12,8,5,15,6,,,CHINA:  N. XINJIANG:  URUMQI,43.823,86.345,18,6,3,1,1,,,,,135,4,,,,,1,1,,,,,135,4,,,,
2016,12,8,17,38,28,5630,,SOLOMON ISLANDS,-10.681,161.327,40,7.8,8,1,1,,,,,,1,191,3,126,3,1,1,,,,,,1,191,3,126,3
2016,12,9,19,11,24,5632,,SOLOMON ISLANDS,-10.749,161.132,20,6.9,7,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,17,10,51,5,5636,,PAPUA NEW GUINEA:  NEW BRITAIN NEW IRELAND,-4.505,153.522,95,7.9,7,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,19,7,11,0,,,ECUADOR:  ESMERALDAS,0.93,-79.84,6,5.4,6,3,1,,,47,1,,2,10,1,70,2,3,1,,,47,1,,2,10,1,70,2
2016,12,25,14,22,0,5637,,CHILE,-43.517,-74.391,30,7.6,7,,,,,,,,1,,,,,,,,,,,,1,,,,
2017,1,3,9,9,8,,,INDIA:  AMBASA;  BANGLADESH,24.015,92.018,32,5.7,,3,1,,,,1,,1,,,,2,3,1,,,,1,,1,,,,2
2017,1,3,21,53,7,5639,,FIJI ISLANDS,-19.373,176.052,12,6.9,6,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,2,33,21,,,IRAN:  KHONJ,28.2,53.107,10,5,,4,1,,,4,1,,1,,,,,4,1,,,4,1,,1,,,,
2017,1,11,22,7,7,,,MADAGASCAR: ANTSIRABE,-20.16,46.647,7,5.5,,2,1,,,,1,,1,,,,1,2,1,,,,1,,1,,,,1
2017,1,18,10,14,9,,,ITALY:  FARINDOLA,42.529,13.282,9,5.7,,34,1,,,11,1,18,3,,1,,,34,1,,,11,1,18,3,,1,,
2017,1,22,4,31,36,5642,,PAPUA NEW GUINEA:  BOUGAINVILLE ISLAND,-6.246,155.172,135,7.9,9,3,1,,,,,,1,,3,,,3,1,,,,,,1,,3,,
2017,2,6,3,52,4,,,TURKEY:  CANAKKALE,39.599,26.065,10,5.3,,,,,,5,1,,2,,,90,2,,,,,5,1,,2,,,90,2
2017,2,6,13,2,14,,,COLOMBIA:  HUILA,3.449,-74.672,38,5.5,,,,,,,,,2,,,378,3,,,,,,,,2,,,378,3
2017,2,7,22,3,39,,,PAKISTAN:  PASNI,25.191,63.264,29,6.3,,,,,,,,,1,20,1,,1,,,,,,,,1,20,1,,1
2017,2,10,14,4,32,,,PHILIPPINES: SURIGAO DEL NORTE,9.907,125.452,15,6.5,8,8,1,,,202,3,40,4,215,3,3042,4,8,1,,,202,3,40,4,215,3,3042,4
2017,2,24,0,32,8,,,ZAMBIA:  KAPUTA,-8.44,30.031,30,5.9,,,,,,5,1,,1,,1,,,,,,,5,1,,1,,1,,
2017,3,5,0,8,1,,,PHILIPPINES: SURIGAO DEL NORTE,9.831,125.496,11,5.7,,1,1,,,45,1,,1,13,1,,,1,1,,,45,1,,1,13,1,,
2017,3,13,14,20,7,,,MYANMAR (BURMA):  THARRAWADDY,17.399,96,10,5.1,,2,1,,,36,1,,1,,1,,1,2,1,,,36,1,,1,,1,,1
2017,3,21,23,10,15,,,INDONESIA:  BALI,-8.492,115.323,112,5.6,,,,,,4,1,,2,,1,,,,,,,4,1,,2,,1,,
2017,3,26,23,55,6,,,CHINA:   YUNNAN PROVINCE,25.938,99.841,28,5,2,,,,,1,1,31,4,,,,,,,,,1,1,31,4,,,,
2017,4,5,6,9,2,,,IRAN:  SEFID SANG,35.776,60.436,13,6.1,,2,1,,,11,1,,1,,,,1,2,1,,,11,1,,1,,,,1
2017,4,8,7,9,18,,,PHILIPPINES: BATANGAS  CALABARZON,13.77,120.935,14,5.9,,,,,,6,1,2,2,506,3,2108,4,,,,,6,1,2,2,506,3,2108,4
2017,4,10,23,54,3,,,EL SALVADOR: SAN SALVADOR SOYAPANGO,13.766,-89.155,10,4.8,,1,1,,,3,1,,1,,,,2,1,1,,,3,1,,1,,,,2
2017,4,24,21,39,22,5647,,CHILE:  VALPARAISO,-33.038,-72.062,28,6.9,9,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,28,20,23,26,5648,,PHILIPPINES: SARANGANI,5.504,125.066,26,6.9,9,,,,,5,1,,1,1,1,,1,,,,,7,1,,1,1,1,,1
2017,5,1,12,31,3,5649,,ALASKA:  SKAGWAY; CANADA:  BRITISH COLUMBIA,59.852,-136.677,1,6.2,,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,3,4,47,38,,,KYRGYZSTAN:  OSH  BATKEN,39.494,71.444,11,6,,,,,,,,,3,537,3,,,,,,,,,,3,537,3,,
2017,5,10,21,58,7,,,CHINA: XINJIANG: QUZGUN  TAXKORGAN TAJIK,37.643,75.31,8,5.4,,8,1,,,23,1,123,4,3015,4,,,8,1,,,23,1,123,4,3015,4,,
2017,5,11,3,24,37,,,IRAN:  ARDABIL,39.816,48.57,63,5.1,,,,,,20,1,,2,,,85,2,,,,,20,1,,2,,,85,2
2017,5,13,18,0,52,,,IRAN: KHORASAN,37.769,57.206,8,5.6,,3,1,,,417,3,2,2,,1,,4,3,1,,,417,3,2,2,,1,,4
2017,5,25,9,55,51,,,TANZANIA: MWANZA,-3.043,32.888,10,4.4,,1,1,,,18,1,,,,,,,1,1,,,18,1,,,,,,
2017,5,28,11,4,37,,,TURKEY: MANISA: SARUHANLI  GOLMARMARA,38.764,27.778,3,4.9,,,,,,,,,2,,,35,1,,,,,,,,2,,,35,1
2017,5,29,14,35,51,,,INDONESIA:  SULAWESI:  POSO,-1.292,120.431,12,6.6,7,,,,,25,1,,2,5,1,348,3,,,,,25,1,,2,5,1,348,3
2017,6,12,12,28,15,5652,,GREECE: LESBOS,38.93,26.365,12,6.3,,1,1,,,15,1,,2,10,1,250,3,1,1,,,15,1,,2,10,1,250,3
2017,6,14,7,29,39,,,GUATEMALA: QUETZALTENANGO  SUCHITEPEQUEZ; MEXICO,14.909,-92.009,93,6.9,8,5,1,,,30,1,,3,,1,,3,5,1,,,30,1,,3,,1,,3
2017,6,21,4,40,,,,NEPAL:  DHADING,27.64,85.17,,3.2,,1,1,,,1,1,,,,,,,1,1,,,1,1,,,,,,
2017,6,22,12,31,49,,,GUATEMALA: ESCUINTLA  SUCHITEPEQUEZ  GUATEMALA,13.717,-90.972,38,6.8,6,,,,,4,1,,2,,,53,2,,,,,4,1,,2,,,53,2
2017,6,24,2,37,48,,,MOZAMBIQUE,-19.45,34.488,27,5.6,,,,,,4,1,,1,2,1,2,1,,,,,4,1,,1,2,1,2,1
2017,7,6,8,3,55,,,PHILIPPINES: LEYTE,11.127,124.629,11,6.5,9,4,1,,,448,3,5,3,735,3,1029,4,4,1,,,448,3,5,3,735,3,1029,4
2017,7,17,23,35,14,5654,,RUSSIA: BERING ISLAND,54.443,168.857,10,7.7,8,,,,,,,,,,,,,,,,,,,,,,,,
2017,7,18,2,6,15,,,PERU:  AREQUIPA,-16.416,-73.636,44,6.4,,1,1,,,1,1,,,,,,,1,1,,,1,1,,,,,,
2017,7,20,22,31,26,5655,,TURKEY: BODRUM  DATCA; GREECE: KOS,36.929,27.414,7,6.6,7,2,1,,,500,3,,2,,1,,1,2,1,,,500,3,,2,,1,,1
2017,8,2,7,15,0,,,CHILE:  SANTIAGO,-33.201,-70.614,99,5.4,,1,1,,,,,,,,,,,1,1,,,,,,,,,,
2017,8,8,13,19,54,,,CHINA:  SICHUAN PROVINCE:  ABA,33.193,103.855,9,6.5,5,29,1,,,525,3,500,4,100,2,72500,4,29,1,,,525,3,500,4,100,2,72500,4
2017,8,8,23,27,8,,,CHINA:  XINGJIANG: BORTALA,44.302,82.832,20,6.3,,,,,,32,1,,2,142,3,1060,4,,,,,32,1,,2,142,3,1060,4
2017,8,11,21,45,4,,,PERU: AREQUIPA,-16.299,-73.474,41,5.6,,1,1,,,,1,,,,,,,1,1,,,,1,,,,,,
2017,8,13,16,51,5,,,PERU:  JUNIN,-10.721,-74.566,32,5.8,,1,1,,,2,1,,1,,,,,1,1,,,2,1,,1,,,,
2017,8,21,18,57,11,,,ITALY:  ISCHIA ISLAND,40.783,13.939,3,4.2,,2,1,,,42,1,,2,,2,,2,2,1,,,42,1,,2,,2,,2
2017,8,22,22,27,3,,,PHILIPPINES: LEYTE: ORMOC,10.954,124.707,17,5,,2,1,,,,1,,2,,,56,2,2,1,,,,1,,2,,,56,2
2017,9,8,4,49,2,5658,,MEXICO: OAXACA  CHIAPAS  TABASCO; GUATEMALA,14.761,-94.103,46,8.2,9,98,2,,,251,3,4000,4,47468,4,94027,4,98,2,,,251,3,4000,4,47468,4,94027,4
2017,9,19,18,14,7,,,MEXICO: MEXICO CITY  MORELOS  PUEBLA,18.339,-98.68,39,7.1,9,369,3,,,6000,4,8000,4,226,3,184000,4,369,3,,,6000,4,8000,4,226,3,184000,4
2017,9,23,12,53,48,,,MEXICO:  OAXACA,16.626,-95.078,10,6.1,,5,1,,,7,1,,1,11,1,,,5,1,,,7,1,,1,11,1,,
2017,9,23,20,48,16,,,PHILIPPINES: MINDANAO: LANAO DEL SUR PROVINCE,7.562,124.743,8,5.7,,,,,,11,1,,2,55,2,1659,4,,,,,11,1,,2,55,2,1659,4
2017,10,31,0,43,12,5663,,NEW CALEDONIA:  LOYALTY ISLANDS,-21.697,169.149,24,6.7,3,,,,,,,,,,,,,,,,,,,,,,,,
2017,10,31,11,50,37,,,INDONESIA:  MALUKU:  AMBON,-3.745,127.752,6,6.1,5,1,1,,,,,,1,,,14,1,1,1,,,,,,1,,,14,1
2017,11,1,2,24,7,5664,,NEW CALEDONIA:  LOYALTY ISLANDS,-21.648,168.859,22,6.6,3,,,,,,,,,,,,,,,,,,,,,,,,
2017,11,12,18,18,18,,,IRAN: KERMANSHAH; IRAQ: KURDISTAN,34.911,45.959,19,7.3,8,630,3,,,12900,4,750,4,15500,4,14500,4,630,3,,,12900,4,750,4,15500,4,14500,4
2017,11,13,2,29,8,,,COSTA RICA: JACO,9.515,-84.487,19,6.5,8,2,1,,,,,,,,,,,2,1,,,,,,,,,,
2017,11,15,5,30,22,,,SOUTH KOREA: POHANG,36.074,129.27,10,5.5,8,,,,,90,2,52,4,,1,2000,4,,,,,90,2,52,4,,1,2000,4
2017,11,17,22,34,45,,,CHINA:  TIBET (XIZANG PROVINCE): NYINGCHI,29.833,94.984,8,6.4,9,,,,,3,1,,3,,,3000,4,,,,,3,1,,3,,,3000,4
2017,11,18,16,7,3,,,INDONESIA: NORTH MALUKU: MOROTAI,2.465,128.148,8,5.8,,1,1,,,,,,2,,,294,3,1,1,,,,,,2,,,294,3
2017,11,19,9,26,13,5723,,NEW CALEDONIA:  LOYALTY ISLANDS,-21.638,168.673,14,6.3,5,,,,,,,,,,,,,,,,,,,,,,,,
2017,11,19,15,10,28,5724,,NEW CALEDONIA:  LOYALTY ISLANDS,-21.503,168.598,13,6.6,4,,,,,,,,,,,,,,,,,,,,,,,,
2017,11,19,22,43,25,5670,,NEW CALEDONIA:  LOYALTY ISLANDS,-21.325,168.672,10,7,4,,,,,,,,,,,,,,,,,,,,,,,,
2017,11,23,9,43,7,,,CHINA: CHONGQING: WULONG,29.349,108.058,10,5.1,4,,,,,8,1,1.5,2,1,1,30,1,,,,,8,1,1.5,2,1,1,30,1
2017,12,1,2,32,4,,,IRAN:  KERMAN,30.746,57.307,9,6.1,5,,,,,51,2,,1,,2,,1,,,,,51,2,,1,,2,,1
2017,12,15,16,47,23,,,INDONESIA:  JAVA,-7.492,108.174,90,6.5,7,4,1,,,36,1,,2,,,4825,4,4,1,,,36,1,,2,,,4825,4
2017,12,20,19,57,7,,,IRAN:  ALBORZ,35.649,50.962,10,4.9,6,2,1,,,117,3,,,,,,,2,1,,,117,3,,,,,,
2017,12,26,21,24,59,,,IRAN: ALBORZ  TEHRAN,35.716,51.256,10,4,4,1,1,,,57,2,,,,,,,1,1,,,57,2,,,,,,
2018,1,4,10,47,7,,,BALKANS NW:  MONTENEGRO: BERANE,42.66,19.862,10,5.1,4,,,,,,1,,2,,,,3,,,,,,1,,2,,,,3
2018,1,6,15,22,12,,,IRAN:  KERMANSHAH,34.585,45.77,10,5,7,,,,,51,2,,1,,2,,,,,,,51,2,,1,,2,,
2018,1,8,,,,,,THE NETHERLANDS: GRONINGEN,53.2,6.6,,3.4,,,,,,,,,2,,,,4,,,,,,,,2,,,,4
2018,1,10,2,51,29,5672,,HONDURAS,17.483,-83.52,19,7.5,8,,,,,,,,1,,,7,1,,,,,,,,1,,,7,1
2018,1,11,6,59,47,,,IRAN: KERMANSHAH,33.713,45.724,10,5.5,5,,,,,13,1,,1,,,,2,,,,,13,1,,1,,,,2
2018,1,14,9,18,0,5675,,PERU: YAUCA,-15.982,-74.512,38,7.1,9,2,1,,,139,3,,3,259,3,1577,4,2,1,,,139,3,,3,259,3,1577,4
2018,1,23,6,35,38,,,INDONESIA:  JAVA:  BANTEN,-7.092,105.963,48,5.9,6,1,1,,,11,1,,2,,,2760,4,1,1,,,11,1,,2,,,2760,4
2018,1,23,9,32,29,5673,,ALASKA:  KODIAK ISLAND,56.004,-149.166,14,7.9,9,,,,,,,,1,,,,,,,,,,,,1,,,,
2018,1,31,7,7,29,,,AFGHANISTAN; PAKISTAN:  BALUCHISTAN,36.526,70.851,194,6.2,6,2,1,,,15,1,,,,,,,2,1,,,15,1,,,,,,
2018,1,31,23,13,4,,,ECUADOR:  PASTAZA,-1.744,-77.672,21,5.2,4,1,1,,,,,,,,,,1,1,1,,,,,,,,,,1
2018,2,6,15,50,32,,,TAIWAN:  HUALIEN,24.134,121.659,17,6.4,,17,1,,,291,3,,2,4,1,,1,17,1,,,291,3,,2,4,1,,1
2018,2,16,23,39,28,,,MEXICO:  OAXACA,16.386,-97.979,22,7.2,,14,1,,,19,1,,2,,,1000,3,14,1,,,19,1,,2,,,1000,3
2018,2,25,17,44,14,,,PAPUA NEW GUINEA: S HIGHLANDS  HELA;  INDONESIA,-6.07,142.754,25,7.5,8,145,3,,,300,3,290,4,,4,,4,145,3,,,300,3,290,4,,4,,4
2018,2,28,2,45,43,,,PAPUA NEW GUINEA:  S HIGHLANDS,-6.17,142.468,16,6.1,,1,1,,,,,,,,,,,1,1,,,,,,,,,,
2018,3,4,19,56,18,,,PAPUA NEW GUINEA:  S HIGHLANDS,-6.307,142.62,10,6,,11,1,,,,,,,,,,,11,1,,,,,,,,,,
2018,3,6,14,13,6,,,PAPUA NEW GUINEA:  S HIGHLANDS  HELA,-6.294,142.607,10,6.7,,25,1,,,,,,,1,1,,,25,1,,,,,,,1,1,,
2018,4,1,8,35,27,,,IRAN:  KERMANSHAH,34.456,45.764,10,5.3,,,,,,54,2,,,,,,,,,,,54,2,,,,,,
2018,4,3,9,41,27,,,VENEZUELA:  MERIDA,8.346,-71.664,10,4.9,,,,,,,,,2,,,28,1,,,,,,,,2,,,28,1
2018,4,7,5,48,38,,,PAPUA NEW GUINEA:  HELA,-5.841,142.49,10,6.3,,4,1,,,,,,1,,1,,1,4,1,,,,,,1,,1,,1
2018,4,8,16,32,31,,,JAPAN:  SHIMANE PREFECTURE,35.262,132.541,8,5.6,,,,,,8,1,,,,,429,3,,,,,8,1,,,,,429,3
2018,4,10,3,11,31,,,ITALY:  MUCCIA,43.093,13.046,5,4.7,,,,,,,,,1,,,,,,,,,,,,1,,,,
2018,4,18,6,28,35,,,INDONESIA:  JAVA:  BANJARNEGARA,-7.21,109.65,4,4.4,2,3,1,,,21,1,,2,,,316,3,3,1,,,21,1,,2,,,316,3
2018,4,24,0,34,31,,,TURKEY:  ADIYAMAN,37.596,38.514,10,5.2,,,,,,39,1,,1,,,,1,,,,,39,1,,1,,,,1
2018,5,2,4,8,13,,,IRAN:  KOHGILUYEH AND BOYER-AHMAD: SISAKHT,30.715,51.485,10,5.3,,,,,,133,3,,2,,,,1,,,,,133,3,,2,,,,1
2018,5,3,11,17,,,,SOUTH AFRICA:  WEST RAND,-26.4,27.5,,2.1,,7,1,,,6,1,,,,,,,7,1,,,6,1,,,,,,
2018,5,4,22,32,55,5678,6864,HAWAIIAN ISLANDS: PUNA DISTRICT,19.37,-155.032,5,6.9,,,,,,,,,1,,,,,,,,,1,1,370,4,716,3,,
2018,5,5,8,58,7,,,POLAND:  SILESIAN:  JASTRZEBIE-ZDROJ,50.11,18.71,10,4.1,,5,1,,,2,1,,1,,,,,5,1,,,2,1,,1,,,,
2018,5,6,6,3,59,5796,7541,JAPAN:  HONSHU:  S. OF,31.444,140.193,10,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
2018,5,6,19,2,22,,,EL SALVADOR:  LA UNION  SAN MIGUEL,13.095,-88.099,10,5.6,,,,,,1,1,,2,11,1,298,3,,,,,1,1,,2,11,1,298,3
2018,5,9,10,41,45,,,AFGHANISTAN: TAKHAR;  PAKISTAN,36.99,71.369,112,6.2,,,,,,13,1,,1,,1,45,1,,,,,13,1,,1,,1,45,1
2018,5,15,15,48,9,,,COMOROS:  MAYOTTE,-12.778,45.593,17,5.8,,,,,,3,1,,1,,,,1,,,,,3,1,,1,,,,1
2018,5,27,17,50,52,,,CHINA:  JILIN PROVINCE:  NINGJIANG,45.279,124.557,10,5.1,,,,,,,,,3,,,10000,4,,,,,,,,3,,,10000,4
2018,6,5,18,40,30,,,AZERBAIJAN: SHAKI-ZAQATALA,41.526,46.785,24,5.3,,1,1,,,31,1,,1,,,,1,1,1,,,31,1,,1,,,,1
2018,6,12,9,35,26,,,COLOMBIA:  PASTO,1.032,-77.259,10,4.9,,2,1,,,,,,1,1,1,,1,2,1,,,,,,1,1,1,,1
2018,6,17,22,58,35,,,JAPAN:  OSAKA,34.833,135.612,11,5.5,,5,1,,,380,3,7000,4,,,470,3,5,1,,,380,3,7000,4,,,470,3
2018,7,21,7,58,15,,,INDONESIA: SUMATRA: SOLOK,-0.965,100.771,10,5.2,,1,1,,,2,1,,1,2,1,10,1,1,1,,,2,1,,1,2,1,10,1
2018,7,22,10,7,26,,,IRAN:  KERMANSHAH,34.645,46.179,6,5.9,,,,,,287,3,,2,,,951,3,,,,,287,3,,2,,,951,3
2018,7,28,22,47,37,5778,,INDONESIA:  LOMBOK ISLAND,-8.274,116.491,6,6.4,,17,1,,,355,3,,3,5448,4,,3,17,1,,,355,3,,3,5448,4,,3
2018,8,5,11,46,37,5685,,INDONESIA:  LOMBOK ISLAND,-8.287,116.452,31,6.9,,560,3,,,7733,4,509,4,,3,83392,4,560,3,,,7733,4,509,4,,3,83392,4
2018,8,9,5,25,31,,,INDONESIA:  LOMBOK ISLAND,-8.394,116.208,10,5.9,,2,1,,,24,1,,2,,,,3,2,1,,,24,1,,2,,,,3
2018,8,12,17,44,26,,,CHINA:   YUNNAN PROVINCE:  YUXI,24.322,102.941,10,5,,,,,,24,1,,2,,,6000,4,,,,,24,1,,2,,,6000,4
2018,8,19,0,19,37,5686,,FIJI ISLANDS,-18.178,-178.111,563,8.2,,,,,,,,,,,,,,,,,,,,,,,,,
